GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(km/h),Trip Distance(km),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Engine RPM(rpm),Throttle Position(Manifold)(%),Unnamed: 18,11749
Sun Mar 31 11:02:26 GMT+02:00 2019,2019-03-31 11:02:26.027000,7.49045432,44.64949406,0,4.288,398,0,-0.33215332,5.3224335,7.7265015,-0.08548454,0,-,0,0,833,-,,
Sun Mar 31 11:02:26 GMT+02:00 2019,2019-03-31 11:02:26.096000,7.49045432,44.64949406,0,4.288,398,0,-0.6290436,4.1875763,10.36731,0.16056734,0,-,0,0,833,-,,
Sun Mar 31 11:02:26 GMT+02:00 2019,2019-03-31 11:02:26.197000,7.49045432,44.64949406,0,4.288,398,0,-3.2387238,4.5251617,7.7695923,0.17514466,0,-,0,0,833,-,,
Sun Mar 31 11:02:26 GMT+02:00 2019,2019-03-31 11:02:26.296000,7.49045432,44.64949406,0,4.288,398,0,-1.670517,4.383896,7.7624054,0.067124575,0,-,0,0,833,13.7254905700683,,
Sun Mar 31 11:02:26 GMT+02:00 2019,2019-03-31 11:02:26.397000,7.49045432,44.64949406,0,4.288,398,0,-0.14779663,4.3192596,6.040985,0.029397905,0,-,0,0,833,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:26.496000,7.49045456,44.64949428,0,4.288,398,0,-0.8493042,4.391083,10.290695,0.16278952,0,-,0,0,836,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:26.596000,7.49045456,44.64949428,0,4.288,398,0,-0.4375,3.8356323,11.16217,0.18981917,0,-,0,0,836,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:26.696000,7.49045456,44.64949428,0,4.288,398,0,-0.92352295,3.8021088,8.423218,0.15257962,0,-,0,0,836,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:26.796000,7.49045456,44.64949428,0,4.288,398,0,-0.5643921,4.024765,8.614746,-0.01002264,0,-,0,0,836,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:26.896000,7.49045456,44.64949428,0,4.288,398,0,-0.31539917,5.396652,8.21492,0.019199988,0,-,0,0,822,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:26.996000,7.49045456,44.64949428,0,4.288,398,0,-0.2531433,5.0422974,8.102386,0.02339009,0,-,0,0,822,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:27.096000,7.49045456,44.64949428,0,4.288,398,0,-0.4015808,5.039917,8.722488,0.0053073564,0,-,0,0,822,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:27.196000,7.49045456,44.64949428,0,4.288,398,0,-0.68888855,4.898651,8.143082,-0.009755075,0,-,0,0,822,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:27.296000,7.49045456,44.64949428,0,4.288,398,0,-0.48059082,5.1763763,7.697769,0.018159159,0,-,0,0,832,13.7254905700683,,
Sun Mar 31 11:02:27 GMT+02:00 2019,2019-03-31 11:02:27.396000,7.49045456,44.64949428,0,4.288,398,0,-0.99295044,5.123703,8.310684,0.020888643,0,-,0,0,832,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:27.496000,7.49045465,44.64949444,0,4.288,398,0,-0.8588867,4.71669,7.618759,-0.06339705,0,-,0,0,832,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:27.596000,7.49045465,44.64949444,0,4.288,398,0,-0.84690857,5.13089,8.655441,0.04830903,0,-,0,0,832,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:27.903000,7.49045465,44.64949444,0,4.288,398,0,-0.8564911,5.1021576,7.961136,-0.013162494,0,-,0,0,830,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:27.903000,7.49045465,44.64949444,0,4.288,398,0,-0.8564911,5.1021576,7.961136,-0.013162494,0,-,0,0,830,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:27.903000,7.49045465,44.64949444,0,4.288,398,0,-0.8564911,5.1021576,7.961136,-0.013162494,0,-,0,0,830,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:27.995000,7.49045465,44.64949444,0,4.288,398,0,-1.0192871,5.05188,8.183792,0.015667226,0,-,0,0,830,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:28.096000,7.49045465,44.64949444,0,4.288,398,0,-0.6338196,5.276932,8.348984,0.012901384,0,-,0,0,830,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:28.196000,7.49045465,44.64949444,0,4.288,398,0,-0.9905548,5.245819,8.176605,0.014353279,0,-,0,0,821,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:28.296000,7.49045465,44.64949444,0,4.288,398,0,-1.0288696,4.8603516,8.502213,0.022801578,0,-,0,0,821,13.7254905700683,,
Sun Mar 31 11:02:28 GMT+02:00 2019,2019-03-31 11:02:28.395000,7.49045465,44.64949444,0,4.288,398,0,-0.7415619,5.3224335,8.23407,0.011485444,0,-,0,0,821,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:28.495000,7.49045473,44.64949453,0,4.288,398,0,-1.1461792,5.0494843,7.81987,0.009859963,0,-,0,0,821,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:28.596000,7.49045473,44.64949453,0,4.288,398,0,-0.77508545,4.929779,8.497437,0.02352959,0,-,0,0,719.5,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:28.696000,7.49045473,44.64949453,0,4.288,398,0,-0.7128296,5.2529907,8.044922,0.0011059046,0,-,0,0,719.5,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:28.795000,7.49045473,44.64949453,0,4.288,398,0,-0.86128235,5.1213074,8.0952,0.015572354,0,-,0,0,719.5,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:28.896000,7.49045473,44.64949453,0,4.288,398,0,-0.99534607,5.1189117,8.545319,0.015367647,0,-,0,0,719.5,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:28.996000,7.49045473,44.64949453,0,4.288,398,0,-0.8516998,5.0973663,7.855789,-0.022458255,0,-,0,0,639.5,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:29.096000,7.49045473,44.64949453,0,4.288,398,0,-0.8229675,5.142868,8.01619,0.011154254,0,-,0,0,639.5,13.7254905700683,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:29.196000,7.49045473,44.64949453,0,4.288,398,0,-0.95225525,5.056671,8.408844,0.0128901405,0,-,0,0,639.5,14.5098037719726,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:29.297000,7.49045473,44.64949453,0,4.288,398,0,-0.49975586,5.6073303,8.408844,0.01579025,0,-,0,0,639.5,14.5098037719726,,
Sun Mar 31 11:02:29 GMT+02:00 2019,2019-03-31 11:02:29.396000,7.49045473,44.64949453,0,4.288,398,0,-1.7566986,6.660782,10.539688,0.30250138,0,-,0,0,639,14.5098037719726,,
Sun Mar 31 11:02:30 GMT+02:00 2019,2019-03-31 11:02:29.496000,7.49045464,44.64949495,0.34,4.288,398,244.1,-0.6936798,5.86351,8.870926,0.19803528,1,-,0,0,639,14.5098037719726,,
Sun Mar 31 11:02:30 GMT+02:00 2019,2019-03-31 11:02:29.596000,7.49045464,44.64949495,0.34,4.288,398,244.1,-0.7774811,5.906616,7.060913,0.16611777,1,-,0,0,639,14.5098037719726,,
Sun Mar 31 11:02:30 GMT+02:00 2019,2019-03-31 11:02:29.696000,7.49045464,44.64949495,0.34,4.288,398,244.1,-0.6362152,6.2801056,5.985916,-0.09423375,1,-,0,0,639,14.9019613265991,,
