GPS Time,GPS Speed (Meters/second),Speed (OBD)(km/h),Kilometers Per Litre(Instant)(kpl),Trip Distance(km),Kilometers Per Litre(Long Term Average)(kpl),Average trip speed(whilst stopped or moving)(km/h)
Fri Apr 05 16:53:31 GMT+02:00 2019,0.192114,0,-,-,-,-
Fri Apr 05 16:53:32 GMT+02:00 2019,0.188103,0,-,-,-,-
Fri Apr 05 16:53:33 GMT+02:00 2019,0.291838,0,-,-,-,-
Fri Apr 05 16:53:34 GMT+02:00 2019,0.202775,0,-,-,-,-
Fri Apr 05 16:53:35 GMT+02:00 2019,0.15105,0,-,-,-,-
Fri Apr 05 16:53:36 GMT+02:00 2019,0.03287,0,-,-,-,-
Fri Apr 05 16:53:37 GMT+02:00 2019,0.094637,0,-,-,-,-
Fri Apr 05 16:53:38 GMT+02:00 2019,0.073184,0,-,-,-,-
Fri Apr 05 16:53:39 GMT+02:00 2019,0.062252,0,-,-,-,-
Fri Apr 05 16:53:40 GMT+02:00 2019,0.144841,0,-,-,-,-
Fri Apr 05 16:53:41 GMT+02:00 2019,0.073066,0,-,-,-,-
Fri Apr 05 16:53:42 GMT+02:00 2019,0.082405,0,-,-,-,-
Fri Apr 05 16:53:43 GMT+02:00 2019,0.102068,0,-,-,-,-
Fri Apr 05 16:53:44 GMT+02:00 2019,0.08476,0,-,-,-,-
Fri Apr 05 16:53:45 GMT+02:00 2019,0.099174,0,-,-,-,-
Fri Apr 05 16:53:46 GMT+02:00 2019,0.086639,0,-,-,-,-
Fri Apr 05 16:53:47 GMT+02:00 2019,0.117341,0,-,-,-,-
Fri Apr 05 16:53:48 GMT+02:00 2019,0.131168,0,-,-,-,-
Fri Apr 05 16:53:49 GMT+02:00 2019,0.07962,0,-,-,-,-
Fri Apr 05 16:53:50 GMT+02:00 2019,0.121697,0,-,-,-,-
Fri Apr 05 16:53:51 GMT+02:00 2019,0.145896,0,-,-,-,-
Fri Apr 05 16:53:52 GMT+02:00 2019,0.264721,0,-,-,-,-
Fri Apr 05 16:53:53 GMT+02:00 2019,0.256792,0,-,-,-,-
Fri Apr 05 16:53:54 GMT+02:00 2019,0.022796,0,-,-,-,-
Fri Apr 05 16:53:55 GMT+02:00 2019,0.03038,0,-,-,-,-
Fri Apr 05 16:53:56 GMT+02:00 2019,0.020159,0,-,-,-,-
Fri Apr 05 16:53:57 GMT+02:00 2019,0.105582,0,-,-,-,-
Fri Apr 05 16:53:58 GMT+02:00 2019,0.102425,0,-,-,-,-
Fri Apr 05 16:53:59 GMT+02:00 2019,0.060845,0,-,-,-,-
Fri Apr 05 16:54:00 GMT+02:00 2019,0.066159,0,-,-,-,-
Fri Apr 05 16:54:01 GMT+02:00 2019,0.087867,0,-,-,-,-
Fri Apr 05 16:54:02 GMT+02:00 2019,0.054924,0,-,-,-,-
Fri Apr 05 16:54:03 GMT+02:00 2019,0.063569,0,-,-,-,-
Fri Apr 05 16:54:04 GMT+02:00 2019,0.021556,0,-,-,-,-
Fri Apr 05 16:54:05 GMT+02:00 2019,0.062261,0,-,-,-,-
Fri Apr 05 16:54:06 GMT+02:00 2019,0.166853,0,-,-,-,-
Fri Apr 05 16:54:07 GMT+02:00 2019,0.054944,0,-,-,-,-
Fri Apr 05 16:54:08 GMT+02:00 2019,0.016965,0,-,-,-,-
Fri Apr 05 16:54:09 GMT+02:00 2019,0.077455,0,-,-,-,-
Fri Apr 05 16:54:10 GMT+02:00 2019,0.022831,0,-,-,-,-
Fri Apr 05 16:54:11 GMT+02:00 2019,0.075843,0,-,-,-,-
Fri Apr 05 16:54:12 GMT+02:00 2019,0.049244,0,-,-,-,-
Fri Apr 05 16:54:13 GMT+02:00 2019,0.028997,0,-,-,-,-
Fri Apr 05 16:54:14 GMT+02:00 2019,0.027724,0,-,-,-,-
Fri Apr 05 16:54:15 GMT+02:00 2019,0.170364,0,-,-,-,-
Fri Apr 05 16:54:16 GMT+02:00 2019,0.209962,0,-,-,-,-
Fri Apr 05 16:54:17 GMT+02:00 2019,0.034358,0,-,-,-,-
Fri Apr 05 16:54:18 GMT+02:00 2019,0.216741,0,-,-,-,-
Fri Apr 05 16:54:19 GMT+02:00 2019,0.166173,0,-,-,-,-
Fri Apr 05 16:54:20 GMT+02:00 2019,0.108555,0,-,-,-,-
Fri Apr 05 16:54:21 GMT+02:00 2019,0.02866,0,-,-,-,-
Fri Apr 05 16:54:22 GMT+02:00 2019,0.048931,0,-,-,-,-
Fri Apr 05 16:54:23 GMT+02:00 2019,0.007044,0,-,-,-,-
Fri Apr 05 16:54:24 GMT+02:00 2019,0.014803,0,-,-,-,-
Fri Apr 05 16:54:25 GMT+02:00 2019,0.046288,0,-,-,-,-
Fri Apr 05 16:54:26 GMT+02:00 2019,0.099085,0,-,-,-,-
Fri Apr 05 16:54:27 GMT+02:00 2019,0.01698,0,-,-,-,-
Fri Apr 05 16:54:28 GMT+02:00 2019,0.236583,0,-,-,-,-
Fri Apr 05 16:54:29 GMT+02:00 2019,0.068249,0,-,-,-,-
Fri Apr 05 16:54:30 GMT+02:00 2019,0.06722,0,-,-,-,-
Fri Apr 05 16:54:31 GMT+02:00 2019,0.020657,0,-,-,-,-
Fri Apr 05 16:54:32 GMT+02:00 2019,0.00711,0,-,-,-,-
Fri Apr 05 16:54:33 GMT+02:00 2019,0.101886,0,-,-,-,-
Fri Apr 05 16:54:34 GMT+02:00 2019,0.17018,0,-,-,-,-
Fri Apr 05 16:54:35 GMT+02:00 2019,0.015022,0,-,-,-,-
Fri Apr 05 16:54:36 GMT+02:00 2019,0.008817,0,-,-,-,-
Fri Apr 05 16:54:37 GMT+02:00 2019,0.015302,0,-,-,-,-
Fri Apr 05 16:54:38 GMT+02:00 2019,0.114042,0,-,-,-,-
Fri Apr 05 16:54:38 GMT+02:00 2019,0.114042,0,-,-,-,-
Fri Apr 05 16:54:40 GMT+02:00 2019,0.023203,0,-,-,-,-
Fri Apr 05 16:54:41 GMT+02:00 2019,0.055411,0,-,-,-,-
Fri Apr 05 16:54:42 GMT+02:00 2019,0.094788,0,-,-,-,-
Fri Apr 05 16:54:43 GMT+02:00 2019,0.115668,0,-,-,-,-
Fri Apr 05 16:54:44 GMT+02:00 2019,0.125444,0,-,-,-,-
Fri Apr 05 16:54:45 GMT+02:00 2019,0.056916,0,-,-,-,-
Fri Apr 05 16:54:46 GMT+02:00 2019,0.002857,0,-,-,-,-
Fri Apr 05 16:54:47 GMT+02:00 2019,0.022727,0,-,-,-,-
Fri Apr 05 16:54:48 GMT+02:00 2019,0.025844,0,-,-,-,-
Fri Apr 05 16:54:49 GMT+02:00 2019,0.018725,0,-,-,-,-
Fri Apr 05 16:54:50 GMT+02:00 2019,0.003342,0,-,-,-,-
Fri Apr 05 16:54:51 GMT+02:00 2019,0.072893,0,-,-,-,-
Fri Apr 05 16:54:52 GMT+02:00 2019,0.106997,0,-,-,-,-
Fri Apr 05 16:54:53 GMT+02:00 2019,0.054859,0,-,-,-,-
Fri Apr 05 16:54:54 GMT+02:00 2019,0.071949,0,-,-,-,-
Fri Apr 05 16:54:55 GMT+02:00 2019,0.089521,0,-,-,-,-
Fri Apr 05 16:54:56 GMT+02:00 2019,0.083535,0,-,-,-,-
Fri Apr 05 16:54:57 GMT+02:00 2019,0.034682,0,-,-,-,-
Fri Apr 05 16:54:58 GMT+02:00 2019,0.010033,0,-,-,-,-
Fri Apr 05 16:54:59 GMT+02:00 2019,0.010644,0,-,-,-,-
Fri Apr 05 16:55:00 GMT+02:00 2019,0.002565,0,-,-,-,-
Fri Apr 05 16:55:01 GMT+02:00 2019,0.039185,0,-,-,-,-
Fri Apr 05 16:55:02 GMT+02:00 2019,0.024105,0,-,-,-,-
Fri Apr 05 16:55:03 GMT+02:00 2019,0.060533,0,-,-,-,-
Fri Apr 05 16:55:04 GMT+02:00 2019,0.013912,0,-,-,-,-
Fri Apr 05 16:55:05 GMT+02:00 2019,0.014188,0,-,-,-,-
Fri Apr 05 16:55:06 GMT+02:00 2019,0.026989,0,-,-,-,-
Fri Apr 05 16:55:07 GMT+02:00 2019,0.007592,0,-,-,-,-
Fri Apr 05 16:55:08 GMT+02:00 2019,0.048451,0,-,-,-,-
Fri Apr 05 16:55:09 GMT+02:00 2019,0.050595,0,-,-,-,-
Fri Apr 05 16:55:10 GMT+02:00 2019,0.050627,0,-,-,-,-
Fri Apr 05 16:55:11 GMT+02:00 2019,0.044324,0,-,-,-,-
Fri Apr 05 16:55:12 GMT+02:00 2019,0.06989,0,-,-,-,-
Fri Apr 05 16:55:13 GMT+02:00 2019,0.080843,0,-,-,-,-
Fri Apr 05 16:55:14 GMT+02:00 2019,0.039659,0,-,-,-,-
Fri Apr 05 16:55:15 GMT+02:00 2019,0.072687,0,-,-,-,-
Fri Apr 05 16:55:16 GMT+02:00 2019,0.119762,0,-,-,-,-
Fri Apr 05 16:55:17 GMT+02:00 2019,0.135101,0,-,-,-,-
Fri Apr 05 16:55:18 GMT+02:00 2019,0.095202,0,-,-,-,-
Fri Apr 05 16:55:19 GMT+02:00 2019,0.081854,0,-,-,-,-
