GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Acceleration Sensor(Total)(g),Engine RPM(rpm),Kilometers Per Litre(Instant)(kpl),GPS Satellites,Trip Distance(km)
Wed Mar 27 21:40:54 GMT+01:00 2019,27-mar-2019 21:41:22.495,7.3961483333333335,45.106993333333335,0.0,8.9,-889.5,296.42,-0.124,2.413,8.715,-0.059110463,-,-0.05911046266555786,-,-,0.0,0.0
Wed Mar 27 21:40:54 GMT+01:00 2019,27-mar-2019 21:41:23.494,7.3961483333333335,45.106993333333335,0.0,8.9,-889.5,296.42,0.239,1.235,10.056,0.052065313,-,0.05206531286239624,-,-,0.0,0.0
Wed Mar 27 21:40:54 GMT+01:00 2019,27-mar-2019 21:41:24.491,7.3961483333333335,45.106993333333335,0.0,8.9,-889.5,296.42,-0.45,2.011,9.586,0.018490255,-,0.018490254878997803,-,-,0.0,0.0
Wed Mar 27 21:40:54 GMT+01:00 2019,27-mar-2019 21:41:25.492,7.3961483333333335,45.106993333333335,0.0,8.9,-889.5,296.42,-0.363,2.078,9.538,0.014768064,-,0.014768064022064209,-,-,0.0,0.0
Wed Mar 27 21:40:54 GMT+01:00 2019,27-mar-2019 21:41:26.493,7.3961483333333335,45.106993333333335,0.0,8.9,-889.5,296.42,-0.689,2.298,9.136,-0.018131495,-,-0.018131494522094727,-,-,0.0,0.0
Wed Mar 27 21:40:54 GMT+01:00 2019,27-mar-2019 21:41:27.492,7.3961483333333335,45.106993333333335,0.0,8.9,-889.5,296.42,-0.708,2.375,9.155,-0.014179587,-,-0.014179587364196777,-,-,0.0,0.0
Wed Mar 27 21:40:54 GMT+01:00 2019,27-mar-2019 21:41:28.491,7.3961483333333335,45.106993333333335,0.0,8.9,-889.5,296.42,-0.689,2.078,9.586,0.02132541,-,0.021325409412384033,-,-,0.0,0.0
Wed Mar 27 21:41:31 GMT+01:00 2019,27-mar-2019 21:41:29.492,7.397571666666666,45.114635,0.0,9.1,-1460.1,334.03,-0.526,2.126,9.299,-0.007154405,-,-0.007154405117034912,-,-,12.0,0.0
Wed Mar 27 21:41:31 GMT+01:00 2019,27-mar-2019 21:41:30.492,7.397571666666666,45.114635,0.0,9.1,-1460.1,334.03,-0.794,2.557,9.308,0.0063016415,-,0.0063016414642333984,-,-,0.0,0.0
Wed Mar 27 21:41:31 GMT+01:00 2019,27-mar-2019 21:41:31.494,7.397571666666666,45.114635,0.0,9.1,-1460.1,334.03,-0.43,2.164,9.395,0.00274992,-,0.002749919891357422,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:32.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.296,3.505,8.619,-0.032057643,-,-0.03205764293670654,-,-,13.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:33.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.478,3.639,8.868,-0.0026604533,-,-0.0026604533195495605,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:34.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.095,4.099,7.949,-0.06926429,-,-0.06926429271697998,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:35.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.114,2.537,9.012,-0.02656722,-,-0.02656722068786621,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:36.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.699,2.308,8.772,-0.053635895,-,-0.05363589525222778,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:37.491,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.593,1.896,8.906,-0.050839722,-,-0.05083972215652466,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:38.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.44,2.633,9.634,0.038063347,-,0.03806334733963013,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:39.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.296,2.518,8.705,-0.056770146,-,-0.056770145893096924,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:40.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.469,2.135,9.615,0.024131954,-,0.024131953716278076,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:41.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.181,1.474,9.835,0.032913268,-,0.032913267612457275,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:42.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.038,1.618,9.759,0.027388513,-,0.02738851308822632,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:43.491,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.191,1.752,9.481,0.0020182133,-,0.0020182132720947266,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:44.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.067,2.509,9.222,-0.0067441463,-,-0.0067441463470458984,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:45.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.852,2.662,9.155,-0.0052450895,-,-0.005245089530944824,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:46.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.565,2.93,8.408,-0.07153988,-,-0.07153987884521484,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:47.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.478,4.099,8.935,0.022259653,-,0.022259652614593506,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:48.501,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.727,4.386,8.542,6.2161684E-4,-,6.216168403625488E-4,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:49.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-1.11,4.185,8.265,-0.029887915,-,-0.029887914657592773,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:50.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.21,2.116,8.973,-0.040988684,-,-0.04098868370056152,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:51.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.574,2.346,9.557,0.023837507,-,-0.019169270992279053,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:52.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.507,2.145,9.586,0.021663725,-,0.02166372537612915,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:53.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-1.321,2.528,10.563,0.13432449,-,0.13432449102401733,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:54.493,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.383,3.074,8.983,-0.012383461,-,-0.012383460998535156,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:55.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.277,3.227,9.261,0.019105256,-,0.019105255603790283,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:56.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.766,2.087,9.366,2.669096E-4,-,2.669095993041992E-4,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:57.494,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.143,2.739,8.686,-0.052484155,-,-0.05248415470123291,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:58.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,1.312,3.591,8.83,-1.502037E-4,-,-1.5020370483398438E-4,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:41:59.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,0.919,2.911,8.207,-0.088407695,-,-0.08840769529342651,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:00.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-1.254,2.164,8.878,-0.040778518,-,-0.040778517723083496,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:01.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.679,2.078,9.002,-0.036693692,-,-0.036693692207336426,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:02.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.814,2.308,9.308,7.647276E-5,-,7.647275924682617E-5,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:03.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.814,2.087,10.324,0.09588462,-,0.09588462114334106,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:04.493,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.067,1.446,10.295,0.07876247,-,0.0787624716758728,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:05.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-1.254,3.16,9.261,0.02463752,-,0.02463752031326294,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:06.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.44,2.087,10.17,0.078250706,-,0.0782507061958313,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:07.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-0.086,0.89,10.19,0.061727107,-,0.06172710657119751,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:08.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-1.848,1.206,9.826,0.045579016,-,0.04557901620864868,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:09.493,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-2.461,1.187,11.09,0.18328422,-,0.1832842230796814,-,-,0.0,0.0
Wed Mar 27 21:41:34 GMT+01:00 2019,27-mar-2019 21:42:10.492,7.397023333333334,45.11525666666667,0.3448639,9.4,-1526.8,337.72,-4.319,1.12,8.925,0.03614217,-,0.036142170429229736,-,-,0.0,0.0
