GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Speed (OBD)(km/h),Kilometers Per Litre(Instant)(kpl),Trip Distance(km),Engine RPM(rpm)
-,28-mar-2019 14:41:15.556,-,-,-,-,-,-,-0.3948059,4.3003387,8.738602,0.012619436,0.012619435787200928,-,-,0.0,-
-,28-mar-2019 14:41:16.552,-,-,-,-,-,-,-0.58395386,4.8893127,8.73381,0.03538577,0.03538576886057854,-,-,0.0,-
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Speed (OBD)(km/h),Kilometers Per Litre(Instant)(kpl),Trip Distance(km),Engine RPM(rpm)
-,29-mar-2019 10:41:37.697,-,-,-,-,-,-,0.19895935,1.9683838,9.832748,0.0063122157,0.004641056060791016,-,-,0.0,-
-,29-mar-2019 10:41:38.692,-,-,-,-,-,-,1.8150482,8.873276,10.476791,0.17085215,0.1708521544933319,-,-,0.0,-
-,29-mar-2019 10:41:39.692,-,-,-,-,-,-,1.4439392,9.91954,0.21044922,0.04104811,0.04104810953140259,0.0,-,-,-
-,29-mar-2019 10:41:40.692,-,-,-,-,-,-,-0.09553528,9.411957,1.8911743,0.047969937,0.047969937324523926,0.0,-,-,-
-,29-mar-2019 10:41:41.691,-,-,-,-,-,-,0.32106018,8.490189,2.846466,0.049200673,0.049200672656297684,0.0,-,-,0.0
-,29-mar-2019 10:41:42.691,-,-,-,-,-,-,0.4096527,9.507736,2.0156708,0.028698346,0.02869834564626217,0.0,0.0,-,0.0
-,29-mar-2019 10:41:43.727,-,-,-,-,-,-,0.1247406,9.435913,1.6900635,-0.0037438273,-0.0037438273429870605,0.0,0.0,-,0.0
-,29-mar-2019 10:41:44.727,-,-,-,-,-,-,-0.12904358,9.718414,1.9342804,0.029181182,0.029181182384490967,0.0,0.0,-,731.0
-,29-mar-2019 10:41:45.726,-,-,-,-,-,-,0.4000702,9.584351,1.675705,0.01845298,0.018452979624271393,0.0,0.0,-,1270.0
-,29-mar-2019 10:41:46.724,-,-,-,-,-,-,0.17022705,10.345703,1.0460205,0.022056878,0.022056877613067627,0.0,0.0,-,1218.0
-,29-mar-2019 10:41:47.727,-,-,-,-,-,-,0.012207031,10.324158,1.1417999,0.025460174,0.025460174307227135,0.0,0.0,-,1113.0
-,29-mar-2019 10:41:48.736,-,-,-,-,-,-,0.5963898,9.699265,1.5272675,0.021738708,0.021738708019256592,0.0,0.0,-,964.0
-,29-mar-2019 10:41:49.706,-,-,-,-,-,-,0.23248291,9.3233795,1.5033112,-0.018037677,-0.01803767681121826,0.0,0.0,-,883.0
-,29-mar-2019 10:41:50.691,-,-,-,-,-,-,-0.88801575,8.973831,2.2790375,0.017130371,0.017130371183156967,0.0,0.0,-,826.0
-,29-mar-2019 10:41:51.692,-,-,-,-,-,-,0.3019104,9.62265,1.699646,0.018373704,0.018373703584074974,0.0,0.0,-,830.0
-,29-mar-2019 10:41:52.692,-,-,-,-,-,-,0.19656372,9.4574585,1.9270935,0.015251928,0.015251928009092808,0.0,0.0,-,949.0
-,29-mar-2019 10:41:53.692,-,-,-,-,-,-,0.14389038,9.850098,1.0986938,0.020183064,0.02018306404352188,0.0,0.0,-,867.0
-,29-mar-2019 10:41:54.692,-,-,-,-,-,-,0.6155548,9.064804,3.0858917,-0.002872467,-0.002872467041015625,0.0,0.0,-,716.0
-,29-mar-2019 10:41:55.692,-,-,-,-,-,-,0.1822052,9.62265,1.6565552,0.015050907,0.01505090668797493,0.0,0.0,-,839.0
-,29-mar-2019 10:41:56.692,-,-,-,-,-,-,0.08163452,9.756729,1.5607758,0.014847178,0.014847178012132645,0.0,0.0,-,909.0
-,29-mar-2019 10:41:57.692,-,-,-,-,-,-,0.24923706,9.320984,2.9829407,0.017082563,0.017082562670111656,0.0,0.0,-,897.0
-,29-mar-2019 10:41:58.692,-,-,-,-,-,-,0.37373352,9.589142,1.8049927,0.009150718,0.009150718338787556,0.0,0.0,-,909.0
-,29-mar-2019 10:41:59.692,-,-,-,-,-,-,-0.014129639,9.613083,1.7355499,0.014770091,0.014770090579986572,0.0,0.0,-,889.0
-,29-mar-2019 10:42:00.692,-,-,-,-,-,-,0.16304016,9.309006,2.3341064,0.01478018,0.014780179597437382,0.0,0.0,-,843.0
-,29-mar-2019 10:42:01.692,-,-,-,-,-,-,0.36175537,9.414352,2.1521454,0.017322203,0.017322203144431114,0.0,0.0,-,843.0
-,29-mar-2019 10:42:02.691,-,-,-,-,-,-,0.26119995,9.857285,1.9103394,0.042861998,0.042861998081207275,0.0,0.0,-,943.0
-,29-mar-2019 10:42:03.691,-,-,-,-,-,-,0.13191223,9.818985,1.2591095,0.028201163,0.028201162815093994,0.0,0.0,-,1663.0
