GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Litres Per 100 Kilometer(Instant)(l/100km),GPS Altitude(m),Engine RPM(rpm),Trip Distance(km),Acceleration Sensor(Total)(g)
Tue Mar 26 16:49:32 GMT+01:00 2019,26-Mar-2019 16:51:02.366,7.665854885075356,45.060839269095304,0.87264574,12.0,304.0469469855526,179.18602,-0.676362,8.911219,4.039018,0.018713355,0.0,-,304.0469469855526,0.0,-,0.01871335506439209
Tue Mar 26 16:49:33 GMT+01:00 2019,26-Mar-2019 16:51:03.365,7.665865363658227,45.06082667373891,0.9393948,12.0,304.0505677084465,176.38495,-0.676362,8.905233,4.048595,0.01856172,0.0,-,304.0505677084465,0.0,-,0.018561720848083496
Tue Mar 26 16:49:34 GMT+01:00 2019,26-Mar-2019 16:51:04.365,7.665874623342203,45.060820426772594,0.8499955,12.0,304.05422286659234,184.82222,-0.6739678,8.907627,4.0342298,0.017564356,0.0,-,304.05422286659234,0.0,-,0.017564356327056885
Tue Mar 26 16:49:35 GMT+01:00 2019,26-Mar-2019 16:51:05.365,7.665874901439908,45.06081606384633,0.59133816,12.0,304.057266464383,184.82222,-0.6751649,8.880095,4.0462008,0.017371936,0.0,-,304.057266464383,0.0,-,0.01737193576991558
Tue Mar 26 16:49:36 GMT+01:00 2019,26-Mar-2019 16:51:06.365,7.665871738230805,45.06081391206608,0.509345,12.0,304.05987445742875,209.27565,-0.65242,8.902839,4.0378213,0.018222136,0.0,-,304.05987445742875,0.0,-,0.018222136422991753
Tue Mar 26 16:49:37 GMT+01:00 2019,26-Mar-2019 16:51:07.365,7.665870992409657,45.06081032321092,0.39217642,8.0,304.0622054509361,209.27565,-0.688333,8.905233,4.0222588,0.01754129,0.0,-,304.0622054509361,0.0,-,0.01754128932952881
Tue Mar 26 16:49:38 GMT+01:00 2019,26-Mar-2019 16:51:08.365,7.665869807146268,45.06080744823187,0.40941933,8.0,304.06470468628885,236.61554,-0.6596026,8.899248,4.047398,0.017411033,0.0,-,304.06470468628885,0.0,-,0.01741103269159794
Tue Mar 26 16:49:39 GMT+01:00 2019,26-Mar-2019 16:51:09.364,7.665867543743115,45.060805493631804,0.31519738,8.0,304.0675592420032,236.61554,-0.6452374,8.913613,4.0378213,0.017798575,0.0,-,304.0675592420032,0.0,-,0.01779857464134693
Tue Mar 26 16:49:40 GMT+01:00 2019,26-Mar-2019 16:51:10.365,7.66587016372806,45.06080491402668,0.29678223,8.0,304.0709815034438,236.61554,-0.6715736,8.91481,4.050989,0.01706632,0.0,-,304.0709815034438,0.0,-,0.017066320404410362
Tue Mar 26 16:49:41 GMT+01:00 2019,26-Mar-2019 16:51:11.365,7.665867863584916,45.060804405718855,0.0257449,8.0,304.0713691387002,236.61554,-0.6655881,8.910022,3.9863458,0.01632768,0.0,-,304.0713691387002,0.0,-,0.01632767915725708
Tue Mar 26 16:49:42 GMT+01:00 2019,26-Mar-2019 16:51:12.364,7.665870812435214,45.060804510756654,0.3037536,8.0,304.0756331108369,204.02489,-0.65242,8.920795,4.015076,0.018433392,0.0,-,304.0756331108369,0.0,-,0.01843339204788208
Tue Mar 26 16:49:43 GMT+01:00 2019,26-Mar-2019 16:51:13.364,7.665873095578134,45.06080155639435,0.495022,8.0,304.079601678829,178.47966,-0.6536171,8.899248,3.9743748,0.017057037,0.0,-,304.079601678829,0.0,-,0.017057036980986595
Tue Mar 26 16:49:44 GMT+01:00 2019,26-Mar-2019 16:51:14.365,7.66587729408362,45.060794458100254,0.5754169,8.0,304.08404937324167,200.0827,-0.5470751,8.893262,3.9827545,0.019205445,0.0,-,304.08404937324167,0.0,-,0.019205445423722267
